Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá
122080,Bưu cục cấp 3 Trung tâm dịch vụ Cầu Giấy,"Sô´CT4-5, Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy",21.02246419,105.7878923,cầu giấy,8
130658,Bưu cục cấp 3 EMS KHL Từ Liêm,"Sô´Ngõ 84, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm",21.03250106,105.7390944,nam từ liêm,15
122320,Bưu cục cấp 3 Nghĩa Tân,"Sô´P100, Dãy nhà A15, Khu tập thể Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy",21.04492383,105.7944075,cầu giấy,8
112400,Bưu cục cấp 3 Bách Khoa,"Sô´P12-A17, Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng",21.00397069,105.8475064,hai bà trưng,13
123080,Bưu cục cấp 3 EMS Cầu Giấy,"Sô´T. N09,193, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy",21.01803779,105.7927856,cầu giấy,8
123071,Bưu cục cấp 3 EMS KHL Cầu Giấy,"Sô´Tòa N02, Ngõ 259, Phố Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy",21.02024639,105.7932248,cầu giấy,18
118800,Bưu cục cấp 3 Thanh Niên,"Số 1, Phố Trấn Vũ, Phường Trúc Bạch, Quận Ba Đình",21.04445498,105.8382919,ba đình,9
129731,Điểm BĐVHX Bưu điện Minh Khai,"Thôn Ngoạ Long, Xã Minh Khai, Quận Nam Từ Liêm",21.05124142,105.7454222,nam từ liêm,12
130301,Điểm BĐVHX Trung Văn,"Thôn Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm",20.99306736,105.7781855,nam từ liêm,11
130000,Điểm BĐVHX Đại Mỗ,"Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm",20.9958654,105.7533298,nam từ liêm,5
129733,Bưu cục cấp 3 Bưu cục Thương mại điện tử Từ Liêm,"Đường 32, Xã Minh Khai, Quận Nam Từ Liêm",21.04011589,105.7649273,nam từ liêm,12
122801,Hòm thư Công cộng độc lập trường Đại học Thương mại,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy",21.03807658,105.7737483,cầu giấy,16
129140,Bưu cục cấp 3 Mỹ Đình 2,"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm",21.04013822,105.7649456,nam từ liêm,20
