lat,long,district
21.03,105.859,hoàn kiếm
21.013,105.863,hai bà trưng
21.046,105.803,cầu giấy
21.018,105.858,hai bà trưng
21.042,105.841,ba đình
21.035,105.829,ba đình
21.012,105.849,hai bà trưng
21.038,105.852,hoàn kiếm
21.039,105.85,hoàn kiếm
21.018,105.854,hai bà trưng
21.023,105.849,hoàn kiếm
21.036,105.795,cầu giấy
20.989,105.798,thanh xuân
21.037,105.85,hoàn kiếm
21.016,105.81,đống đa
21.009,105.834,đống đa
21.03,105.851,hoàn kiếm
21.031,105.833,đống đa
21.028,105.806,ba đình
21.025,105.85,hoàn kiếm
21.039,105.848,hoàn kiếm
21.02,105.853,hoàn kiếm
21.011,105.825,đống đa
21.033,105.798,cầu giấy
21.019,105.808,đống đa
21.04,105.765,nam từ liêm
21.027,105.853,hoàn kiếm
21.041,105.806,ba đình
21.026,105.851,hoàn kiếm
20.998,105.861,hai bà trưng
21.039,105.787,cầu giấy
21.036,105.826,ba đình
21.056,105.809,cầu giấy
21.019,105.773,nam từ liêm
21.031,105.837,ba đình
21.028,105.779,nam từ liêm
21.01,105.822,đống đa
21.015,105.859,hai bà trưng
21.019,105.861,hoàn kiếm
21.042,105.845,ba đình
21.026,105.835,đống đa
21.008,105.819,đống đa
21.027,105.846,hoàn kiếm
21.018,105.849,hai bà trưng
21.027,105.847,hoàn kiếm
21.019,105.806,đống đa
21.024,105.844,hoàn kiếm
21.028,105.847,hoàn kiếm
21.041,105.794,cầu giấy
21.041,105.846,ba đình
21.027,105.839,đống đa
21.031,105.836,ba đình
21.014,105.841,đống đa
21.045,105.847,ba đình
21.047,105.781,cầu giấy
21.024,105.855,hoàn kiếm
21.026,105.848,hoàn kiếm
21.039,105.839,ba đình
21.026,105.855,hoàn kiếm
21.036,105.837,ba đình
21.019,105.851,hai bà trưng
21.021,105.855,hoàn kiếm
21.02,105.854,hoàn kiếm
21.029,105.825,đống đa
21.02,105.861,hoàn kiếm
21.03,105.842,ba đình
21.044,105.808,ba đình
21.031,105.835,ba đình
21.004,105.794,cầu giấy
20.991,105.802,thanh xuân
20.991,105.801,thanh xuân
21.031,105.843,ba đình
21.005,105.794,cầu giấy
20.993,105.802,thanh xuân
20.997,105.794,nam từ liêm
21.028,105.811,ba đình
21.03,105.783,cầu giấy
20.991,105.784,nam từ liêm
21.015,105.774,nam từ liêm
21.018,105.788,nam từ liêm
20.991,105.785,nam từ liêm
21.018,105.789,nam từ liêm
21.032,105.799,cầu giấy
21.02,105.852,hoàn kiếm
21.015,105.775,nam từ liêm
21.03,105.838,ba đình
21.005,105.855,hai bà trưng
21.028,105.846,hoàn kiếm
21.017,105.837,đống đa
21.006,105.859,hai bà trưng
21.025,105.84,đống đa
21.042,105.847,ba đình
21.012,105.838,đống đa
21.027,105.824,đống đa
21.019,105.794,cầu giấy
21.019,105.793,cầu giấy
21.031,105.832,đống đa
21.044,105.803,cầu giấy
21.041,105.805,cầu giấy
21.041,105.812,ba đình
21.045,105.845,ba đình
21.04,105.79,cầu giấy
21.035,105.824,ba đình
21.014,105.787,nam từ liêm
21.051,105.801,cầu giấy
20.986,105.812,thanh xuân
21.016,105.793,cầu giấy
21.041,105.808,ba đình
21.05,105.8,cầu giấy
20.995,105.803,thanh xuân
21.023,105.775,nam từ liêm
21.014,105.814,đống đa
20.996,105.785,nam từ liêm
21.036,105.823,ba đình
21.008,105.828,đống đa
21.037,105.795,cầu giấy
21.035,105.794,cầu giấy
21.037,105.738,nam từ liêm
21.036,105.834,ba đình
21.039,105.849,hoàn kiếm
21.027,105.843,hoàn kiếm
21.013,105.806,cầu giấy
21.011,105.849,hai bà trưng
21.03,105.768,nam từ liêm
21.011,105.826,đống đa
21.012,105.856,hai bà trưng
21.044,105.842,ba đình
21.028,105.842,hoàn kiếm
21.017,105.852,hai bà trưng
21.034,105.811,ba đình
20.996,105.851,hai bà trưng
21.01,105.779,nam từ liêm
21.031,105.778,nam từ liêm
21.045,105.794,cầu giấy
20.986,105.794,nam từ liêm
21.014,105.823,đống đa
21.016,105.738,nam từ liêm
21.043,105.774,cầu giấy
21.014,105.798,cầu giấy
21.025,105.855,hoàn kiếm
21.038,105.786,cầu giấy
21.026,105.858,hoàn kiếm
21.013,105.833,đống đa
21.03,105.844,hoàn kiếm
21.015,105.823,đống đa
21.021,105.845,hoàn kiếm
21.012,105.763,nam từ liêm
21.02,105.848,hoàn kiếm
21.018,105.847,hai bà trưng
21.025,105.862,hoàn kiếm
21.017,105.806,đống đa
20.992,105.81,thanh xuân
20.995,105.85,hai bà trưng
21.015,105.847,hai bà trưng
21.024,105.816,ba đình
21.017,105.859,hai bà trưng
21.028,105.841,đống đa
21.03,105.756,nam từ liêm
21.033,105.802,cầu giấy
21.011,105.831,đống đa
21.025,105.863,hoàn kiếm
21.025,105.792,cầu giấy
21.014,105.847,hai bà trưng
21.034,105.816,ba đình
21.032,105.788,cầu giấy
21.029,105.813,ba đình
21.009,105.832,đống đa
21.006,105.744,nam từ liêm
20.991,105.809,thanh xuân
20.986,105.795,nam từ liêm
20.987,105.796,nam từ liêm
21.026,105.823,đống đa
21.012,105.827,đống đa
21.03,105.826,ba đình
21.006,105.813,thanh xuân
21.023,105.743,nam từ liêm
21.027,105.741,nam từ liêm
21.024,105.805,đống đa
21.016,105.745,nam từ liêm
21.031,105.792,cầu giấy
21.041,105.797,cầu giấy
21.04,105.797,cầu giấy
21.024,105.786,cầu giấy
21.024,105.798,cầu giấy
21.041,105.763,nam từ liêm
21.007,105.861,hai bà trưng
21.027,105.799,đống đa
21.005,105.765,nam từ liêm
21.034,105.805,ba đình
21.007,105.741,nam từ liêm
21.034,105.835,ba đình
21.008,105.835,đống đa
21.032,105.84,ba đình
21.013,105.827,đống đa
20.994,105.805,thanh xuân
21.026,105.824,đống đa
21.023,105.854,hoàn kiếm
21.045,105.8,cầu giấy
21.009,105.798,cầu giấy
21.02,105.785,cầu giấy
20.995,105.799,thanh xuân
21.029,105.779,nam từ liêm
21.037,105.828,ba đình
21.042,105.798,cầu giấy
21.005,105.795,cầu giấy
21.004,105.795,thanh xuân
21.044,105.807,ba đình
21.043,105.809,ba đình
21.011,105.808,cầu giấy
21.027,105.854,hoàn kiếm
21.035,105.828,ba đình
21.04,105.848,hoàn kiếm
21.031,105.813,ba đình
21.04,105.841,ba đình
21.035,105.77,nam từ liêm
21.025,105.853,hoàn kiếm
21.035,105.795,cầu giấy
21.029,105.821,ba đình
21.031,105.781,cầu giấy
21.032,105.85,hoàn kiếm
20.994,105.815,thanh xuân
21.024,105.85,hoàn kiếm
21.023,105.789,cầu giấy
21.03,105.792,cầu giấy
21.04,105.829,ba đình
21.018,105.862,hai bà trưng
21.043,105.808,ba đình
20.99,105.798,thanh xuân
21.018,105.798,cầu giấy
20.991,105.799,thanh xuân
20.99,105.808,thanh xuân
20.995,105.809,thanh xuân
21.012,105.85,hai bà trưng
21.038,105.848,hoàn kiếm
21.029,105.796,cầu giấy
21.027,105.778,nam từ liêm
21.03,105.778,nam từ liêm
21.034,105.795,cầu giấy
21.031,105.783,cầu giấy
21.029,105.781,nam từ liêm
21.032,105.773,nam từ liêm
21.014,105.819,đống đa
21.037,105.779,cầu giấy
21.044,105.838,ba đình
21.014,105.851,hai bà trưng
21.036,105.789,cầu giấy
21.035,105.853,hoàn kiếm
21.004,105.819,đống đa
21.018,105.824,đống đa
21.03,105.834,ba đình
21.039,105.847,hoàn kiếm
21.043,105.807,ba đình
21.019,105.799,cầu giấy
21.005,105.738,nam từ liêm
21.027,105.841,đống đa
21.027,105.855,hoàn kiếm
21.027,105.845,hoàn kiếm
21.007,105.865,hai bà trưng
20.995,105.805,thanh xuân
20.995,105.804,thanh xuân
20.995,105.806,thanh xuân
21.035,105.766,nam từ liêm
20.993,105.809,thanh xuân
20.992,105.808,thanh xuân
21.012,105.775,nam từ liêm
21.024,105.79,cầu giấy
21.012,105.82,đống đa
21.024,105.804,đống đa
21.026,105.838,đống đa
21.013,105.818,đống đa
21.022,105.787,cầu giấy
20.995,105.864,hai bà trưng
21.03,105.854,hoàn kiếm
21.053,105.809,cầu giấy
21.024,105.778,nam từ liêm
21.04,105.807,ba đình
20.989,105.802,thanh xuân
21.019,105.854,hoàn kiếm
21.01,105.849,hai bà trưng
21.027,105.768,nam từ liêm
21.015,105.806,đống đa
21.004,105.803,thanh xuân
21.014,105.848,hai bà trưng
21.017,105.841,đống đa
21.03,105.837,ba đình
21.012,105.863,hai bà trưng
21.015,105.8,cầu giấy
21.035,105.847,hoàn kiếm
21.034,105.813,ba đình
21.032,105.858,hoàn kiếm
21.033,105.846,hoàn kiếm
21.036,105.85,hoàn kiếm
21.019,105.817,ba đình
21.034,105.825,ba đình
21.033,105.839,ba đình
21.014,105.776,nam từ liêm
21.029,105.809,ba đình
21.023,105.858,hoàn kiếm
20.997,105.861,hai bà trưng
21.025,105.806,đống đa
21.037,105.793,cầu giấy
21.027,105.85,hoàn kiếm
21.033,105.854,hoàn kiếm
21.035,105.832,ba đình
20.987,105.813,thanh xuân
21.03,105.824,ba đình
21.023,105.848,hoàn kiếm
21.043,105.844,ba đình
21.017,105.855,hai bà trưng
21.012,105.804,cầu giấy
21.004,105.805,thanh xuân
21.033,105.782,cầu giấy
21.011,105.856,hai bà trưng
21.032,105.852,hoàn kiếm
21.035,105.849,hoàn kiếm
21.02,105.817,ba đình
21.023,105.857,hoàn kiếm
21.007,105.782,nam từ liêm
21.036,105.803,cầu giấy
21.018,105.842,hai bà trưng
21.032,105.854,hoàn kiếm
21.008,105.84,đống đa
20.99,105.801,thanh xuân
21.004,105.791,nam từ liêm
21.007,105.795,cầu giấy
21.021,105.822,đống đa
20.992,105.777,nam từ liêm
21.035,105.803,cầu giấy
21.038,105.822,ba đình
21.034,105.798,cầu giấy
20.991,105.77,nam từ liêm
21.004,105.752,nam từ liêm
20.991,105.816,thanh xuân
21.024,105.821,đống đa
20.996,105.745,nam từ liêm
20.989,105.821,thanh xuân
21.033,105.785,cầu giấy
21.034,105.764,nam từ liêm
20.987,105.816,thanh xuân
21.036,105.799,cầu giấy
21.023,105.811,đống đa
21.038,105.776,cầu giấy
21.019,105.807,đống đa
20.985,105.792,nam từ liêm
21.031,105.815,ba đình
21.016,105.779,nam từ liêm
21.027,105.812,ba đình
21.031,105.846,hoàn kiếm
20.989,105.795,nam từ liêm
21.032,105.82,ba đình
20.998,105.866,hai bà trưng
21.009,105.849,hai bà trưng
21.029,105.856,hoàn kiếm
21.032,105.787,cầu giấy
21.025,105.856,hoàn kiếm
21.036,105.854,hoàn kiếm
21.013,105.85,hai bà trưng
21.026,105.857,hoàn kiếm
21.031,105.854,hoàn kiếm
