Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá,number_of_order,average_1,average_2
130020,Bưu cục cấp 3 Đại Mỗ,"Sô´522, Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm",20.99576254,105.7532964,nam từ liêm,17,29,1.7058823529411764,0.5862068965517241
124600,Bưu cục cấp 3 Yên Thái,"Sô´552, Phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ",21.04863359,105.8079419,tây hồ,19,80,4.2105263157894735,0.2375
120987,Bưu cục cấp 3 KHL EMS TMĐT 1,"Sô´565, Đường Vũ Tông Phan, Phường Khương Trung, Quận Thanh Xuân",20.98477766,105.81525,thanh xuân,19,40,2.1052631578947367,0.475
119197,Hòm thư Công cộng độc lập phố Nghĩa Dũng,"Sô´57, Phố Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình",21.04787844,105.8473463,ba đình,10,14,1.4,0.7142857142857143
100100,Bưu cục cấp 3 Quốc Tế,"Sô´6, Phố Đinh Lễ, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02627818,105.8535641,hoàn kiếm,12,3,0.25,4.0
110402,Hòm thư Công cộng độc lập Khách sạn Hilton Opera,"Sô´6, Phố Đặng Thái Thân, Phường Phan Chu Trinh, Quận Hoàn Kiếm",21.02311878,105.8582716,hoàn kiếm,19,52,2.736842105263158,0.36538461538461536
110220,Bưu cục cấp 3 Lương Văn Can,"Sô´66, Phố Lương Văn Can, Phường Hàng Trống, Quận Hoàn Kiếm",21.03309467,105.8490702,hoàn kiếm,16,12,0.75,1.3333333333333333
110000,Bưu cục cấp 2 Tràng Tiền,"Sô´66, Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm",21.02578733,105.853382,hoàn kiếm,15,16,1.0666666666666667,0.9375
124068,Bưu cục cấp 3 Lạc Long Quân,"Sô´665, Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ",21.07093265,105.811856,tây hồ,12,148,12.333333333333334,0.08108108108108109
112618,Bưu cục cấp 3 Giao dịch EMS Hai Bà Trưng 2,"Sô´67, Phố Ngô Thì Nhậm, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng",21.0141319,105.8536426,hai bà trưng,10,12,1.2,0.8333333333333334
112617,Hòm thư Công cộng độc lập Khách sạn Nikko,"Sô´68, Phố Trần Nhân Tông, Phường Nguyễn Du, Quận Hai Bà Trưng",21.01784742,105.8423565,hai bà trưng,18,11,0.6111111111111112,1.6363636363636365
117127,Bưu cục cấp 3 Lãnh sự quán Mỹ MB,"Sô´7, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa",21.02218032,105.8187276,đống đa,17,21,1.2352941176470589,0.8095238095238095
119346,Bưu cục cấp 3 Giao dịch EMS Ba Đình 2,"Sô´70, Phố Đốc Ngữ, Phường Vĩnh Phúc, Quận Ba Đình",21.04045927,105.8129384,ba đình,14,18,1.2857142857142858,0.7777777777777778
